,property_name,property_id,breadcrumbs,amount,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
0,1bhk fully furnished flat for rent at Thondayad bypass,1637172191,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk fully furnished flat for rent at Thondayad bypass']","₹ 22,000",https://apollo.olx.in:443/v1/files/3njvw1udaavc2-IN/image;s=850x0,1bhk fully furnished flat for rent at Thondayad bypass,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
1,Fully Furnished First floor of duplex villa close to CYBERPARK & HiLIT,1773559198,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nellikode', 'Fully Furnished First floor of duplex villa close to CYBERPARK & HiLIT']","₹ 16,500",https://apollo.olx.in:443/v1/files/c6yb8gki448m-IN/image;s=850x0,Fully Furnished First floor of duplex villa close to CYBERPARK & HiLITE Mall & Bhavans school chevayur.,deal addz,"Nellikode, Kozhikode, Kerala",Houses & Villas,1,1
2,Studio fully furnished flat for at Thondayad bypass,1635785429,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Studio fully furnished flat for at Thondayad bypass']","₹ 20,000",https://apollo.olx.in:443/v1/files/v97sjotle3bx-IN/image;s=850x0,Studio fully furnished flat for at Thondayad bypass,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
3,3 BHK Fully Furnished Villa,1760941881,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Malaparamba', '3 BHK Fully Furnished Villa']","₹ 40,000",https://apollo.olx.in:443/v1/files/tb4rdwgshp6l2-IN/image;s=850x0,*3BHK Premium Villa for 11months plus 1 Rental contract. Furnished apartment with fitted AC’s in all bedrooms.,Deepak  Prabhulla,"Malaparamba, Kozhikode, Kerala",Houses & Villas,3,4
4,Nadakkave fully furnished apartment rs 27000 per month,1772970933,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu', 'Nadakkave fully furnished apartment rs 27000 per month']","₹ 27,000",https://apollo.olx.in:443/v1/files/82fx12hgowf52-IN/image;s=850x0,"This is a fully furnished 3BHK apartment in nadakkave , kanakalaya bank .It's 5 th floor out of the 8 floors.Its having 1682 square feet.Its having 3 beds ,one AC ,one fridge,one TV, one geyser,one washing machine ,one sofa one water purifier, one dinning table,one sofa ,6 fans ,14 lights ",Seashore Realtors,"Nadakkavu, Kozhikode, Kerala",Apartments,3,3
5,2BHK brand new apartment -40000 per month,1773392544,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in YMCA Cross Road', '2BHK brand new apartment -40000 per month']","₹ 40,000",https://apollo.olx.in:443/v1/files/q9l22xi5jysy1-IN/image;s=850x0,This is a newly built flat with just one year old .,Seashore Realtors,"YMCA Cross Road, Kozhikode, Kerala",Apartments,2,2
6,"P-00055: Apartment For Rent In Malaparamba, Kozhikode",1775268497,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Malaparamba', 'P-00055: Apartment For Rent In Malaparamba, Kozhikode']","₹ 25,000",https://apollo.olx.in:443/v1/files/ixq020vmdofd2-IN/image;s=850x0,P-00055 : ,BookPropertyVisit,"Malaparamba, Kozhikode, Kerala",Apartments,2,2
7,1bhk fully furnished flat for rent at Thondayad bypass,1639836497,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk fully furnished flat for rent at Thondayad bypass']","₹ 20,000",https://apollo.olx.in:443/v1/files/vqbbmqjizua32-IN/image;s=850x0,1bhk fully furnished flat for rent at Thondayad by,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,2
8,3 bhk flat rent @ Kottooly,1760472204,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kottuli', '3 bhk flat rent @ Kottooly']","₹ 19,000",https://apollo.olx.in:443/v1/files/tpm8inoq4hud-IN/image;s=850x0,Well water and Cooperation water flat near by bypass @kottooly kozhikode,Sunil Kc,"Kottuli, Kozhikode, Kerala",Builder Floors,3,3
9,House for rent @ mankavu,1760466302,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Mankavu', 'House for rent @ mankavu']","₹ 20,000",https://apollo.olx.in:443/v1/files/bsnh8x7lw9p22-IN/image;s=850x0,Compound wall well water new house for rent,Sunil Kc,"Mankavu, Kozhikode, Kerala",Houses & Villas,3,3
